id;jhi_group;start_sate
b59042cc-7611-4656-b541-d5f68e947d6f;infomediaries XSS infrastructures;2021-10-06T14:27:16
4af3b80f-274c-4e2d-ba2d-9828c9d24ff2;Cliff wireless Officer;2021-10-07T01:02:33
68131604-7f23-4350-bde9-f7b5bbb0b483;Generic El;2021-10-07T11:08:28
e3454705-2ad7-466f-8252-51555c00b823;Leone Gloves;2021-10-07T09:22:07
2ab6bb80-65a2-4f84-a204-346a2e3f85ef;Intelligent;2021-10-07T11:47:24
62b6474a-fd0a-43bc-b209-c5def805c7f3;Small Intelligent;2021-10-07T03:08:29
79683bec-53ff-4bcc-84fc-e9b4aa43b262;Handcrafted Loan;2021-10-06T13:42:59
60d6a270-d165-4926-b255-170c2b7705ed;Practical;2021-10-07T03:44:26
1f8c9fe4-9a3e-43ef-a1f4-28b2e6f21631;redefine Accounts;2021-10-06T14:11:57
d1561240-96e7-4f8e-9b06-1e1a22af2151;Carolina Adaptive;2021-10-06T20:36:13
